lastWorkName,equivalence,count,equals
Analista De Personal,Analista De Personal,1,TRUE
Analista De Planeamiento,Analista De Planeamiento,2,TRUE
Analista De Planeamiento Y Control,Analista De Planeamiento Y Control,2,TRUE
Analista De Planeamiento Y Operaciones,Analista De Planeamiento Y Operaciones,1,TRUE
Analista De Planning,Analista De Planning,1,TRUE
Analista De Pocesos Y Proyectos,Analista De Procesos,1,FALSE
Analista De Procesamiento De Datos,Analista De Procesamiento De Datos,1,TRUE
Analista De Proceso Y Proyectos,Analista De Procesos,1,FALSE
Analista De Procesos,Analista De Procesos,33,TRUE
Analista De Procesos De Datos,Analista De Procesos,2,FALSE
Analista De Procesos De Negocio,Analista De Procesos,3,FALSE
Analista De Procesos De Ti,Analista De Procesos,1,FALSE
Analista De Procesos Itil,Analista De Procesos,2,FALSE
Analista De Procesos Master,Analista De Procesos,1,FALSE
Analista De Procesos Rpa,Analista De Procesos,1,FALSE
Analista De Procesos Ti,Analista De Procesos,2,FALSE
Analista De Procesos Y Comercial,Analista De Procesos,1,FALSE
Analista De Procesos Y Control Interno,Analista De Procesos,1,FALSE
Analista De Procesos Y Mejora Continua,Analista De Procesos,2,FALSE
Analista De Procesos Y Proyectos,Analista De Procesos,2,FALSE
Analista De Procesos Y Sistemas,Analista De Procesos,1,FALSE
Analista De Produccion,Analista De Produccion,6,TRUE
Analista De Produccion Ti,Analista De Produccion Ti,2,TRUE
Analista De Producto,Analista De Producto,5,TRUE
Analista De Programacion,Analista De Programacion,2,TRUE
Analista De Proyecto,Analista De Proyectos,1,FALSE
Analista De Proyecto Y Procesos,Analista De Proyectos,1,FALSE
Analista De Proyectos,Analista De Proyectos,20,TRUE
Analista De Proyectos (Joven Profesional),Analista De Proyectos,1,FALSE
Analista De Proyectos Bpm,Analista De Proyectos,2,FALSE
Analista De Proyectos De Campanas,Analista De Proyectos,1,FALSE
Analista De Proyectos De T.I.,Analista De Proyectos,1,FALSE
Analista De Proyectos Ecommerce,Analista De Proyectos,1,FALSE
Analista De Proyectos Senior,Analista De Proyectos,3,FALSE
Analista De Proyectos Ti,Analista De Proyectos,3,FALSE
Analista De Proyectos Y Comercial - Temporal,Analista De Proyectos,1,FALSE
Analista De Proyectos Y Funcional,Analista De Proyectos,1,FALSE
Analista De Proyectos Y Negocios Ti,Analista De Proyectos,1,FALSE
Analista De Proyectos Y Procesos,Analista De Proyectos,1,FALSE
"Analista De Proyectos, Operaciones Y Logistica",Analista De Proyectos,1,FALSE
Analista De Proyectos.,Analista De Proyectos,1,FALSE
Analista De Pruebas De Desarrollo De Software,Analista De Pruebas De Desarrollo De Software,3,TRUE
Analista De Pruebas Funcionales,Analista De Pruebas Funcionales,2,TRUE
Analista De Qa,Analista De Qa,5,TRUE
Analista De Qa Y Despliegue,Analista De Qa Y Despliegue,1,TRUE
Analista De Qa Y Soporte Especializado,Analista De Qa Y Soporte Especializado,1,TRUE
Analista De Reclamos Para El Bbva Continental,Analista De Reclamos Para El Bbva Continental,1,TRUE
Analista De Reclamos Y Contracargos,Analista De Reclamos Y Contracargos,1,TRUE
Analista De Reclutamiento Y Seleccion,Analista De Reclutamiento Y Seleccion,1,TRUE
Analista De Recursos Humanos,Analista De Recursos Humanos,9,TRUE
Analista De Recursos Humanos Y Compensaciones,Analista De Recursos Humanos Y Compensaciones,1,TRUE
Analista De Recursos Y Servicios De Ti,Analista De Recursos Y Servicios De Ti,1,TRUE
Analista De Redes E Infraestructura,Analista De Redes E Infraestructura,1,TRUE
Analista De Redes Y Comunicaciones,Analista De Redes Y Comunicaciones,2,TRUE
Analista De Redes Y Datos,Analista De Redes Y Datos,2,TRUE
Analista De Redes Y Telecomunicaciones,Analista De Redes Y Telecomunicaciones,3,TRUE
Analista De Relaciones Humanas Y Sociales,Analista De Relaciones Humanas Y Sociales,2,TRUE
Analista De Remuneraciones,Analista De Remuneraciones,1,TRUE
