nombreUltimoEstudio,equivalencia,cantidad,igual
Bachiller / Administracion Y Recursos Humanos,Bachiller / Administracion Y Recursos Humanos,1,TRUE
Bachiller / Ingenieria,Bachiller / Ingenieria,2,TRUE
Bachiller / Ingenieria Informatica,Bachiller / Ingenieria Informatica,1,TRUE
Bachiller Administracion De Empresas,Bachiller Administracion De Empresas,2,TRUE
Bachiller Administracion Empresa,Bachiller Administracion Empresa,1,TRUE
Bachiller Administrador De Empresas,Bachiller Administrador De Empresas,1,TRUE
Bachiller De Administracion De Empresas,Bachiller De Administracion De Empresas,2,TRUE
Bachiller De Arquitectura,Bachiller De Arquitectura,1,TRUE
Bachiller De Ciencias Contables Y Financiera,Bachiller De Ciencias Contables Y Financiera,1,TRUE
Bachiller De Ciencias De La Comunicacion,Bachiller De Ciencias De La Comunicacion,1,TRUE
Bachiller De Comunicacion,Bachiller De Comunicacion,1,TRUE
Bachiller De Ingenieria De Sistema,Bachiller De Ingenieria De Sistema,1,TRUE
Bachiller De Ingenieria De Sistemas,Bachiller De Ingenieria De Sistemas,5,TRUE
Bachiller De Ingenieria Electrica,Bachiller De Ingenieria Electrica,1,TRUE
Bachiller De Ingenieria Electronica,Bachiller De Ingenieria Electronica,3,TRUE
Bachiller De Ingenieria Industrial,Bachiller De Ingenieria Industrial,3,TRUE
Bachiller De Ingenieria Informatica,Bachiller De Ingenieria Informatica,1,TRUE
Bachiller De Psicologia,Bachiller De Psicologia,4,TRUE
Bachiller De Trabajo Social,Bachiller De Trabajo Social,3,TRUE
Bachiller Derecho Ycc.Pp.,Bachiller Derecho Ycc.Pp.,1,TRUE
Bachiller En Adm. De Aduanas Y Comercio Exterior,Bachiller En Adm. De Aduanas Y Comercio Exterior,3,TRUE
Bachiller En Adm. Y Finanzas Vi Ciclo,Bachiller En Adm. Y Finanzas Vi Ciclo,1,TRUE
Bachiller En Administracion,Bachiller En Administracion,2,TRUE
Bachiller En Administracion De Empresas,Bachiller En Administracion De Empresas,1,TRUE
Bachiller En Administracion De Negocios,Bachiller En Administracion De Negocios,1,TRUE
Bachiller En Administracion Y Marketing,Bachiller En Administracion Y Marketing,4,TRUE
Bachiller En Administracion Y Recursos Humanos,Bachiller En Administracion Y Recursos Humanos,1,TRUE
Bachiller En Administrador De Empresas,Bachiller En Administrador De Empresas,1,TRUE
Bachiller En Arte Con Mencion En Diseno Grafico,Bachiller En Arte Con Mencion En Diseno Grafico,1,TRUE
Bachiller En Ciencia De La Computacion,Bachiller En Ciencia De La Computacion,1,TRUE
Bachiller En Ciencias De La Comunicacion,Bachiller En Ciencias De La Comunicacion,1,TRUE
Bachiller En Computacion E Informatica,Bachiller En Computacion E Informatica,1,TRUE
Bachiller En Comunicacion,Bachiller En Comunicacion,1,TRUE
Bachiller En Contabilidad,Bachiller En Contabilidad,1,TRUE
Bachiller En Gestion De Recursos Humanos,Bachiller En Gestion De Recursos Humanos,1,TRUE
Bachiller En Gestion Empresarial,Bachiller En Gestion Empresarial,2,TRUE
Bachiller En Ing. De Sistemas,Bachiller En Ing. De Sistemas,3,TRUE
Bachiller En Ing. De Sistemas E Informatica,Bachiller En Ing. De Sistemas E Informatica,2,TRUE
Bachiller En Ing. De Sistemas Empresariales,Bachiller En Ing. De Sistemas Empresariales,2,TRUE
Bachiller En Ing. De Software,Bachiller En Ing. De Software,1,TRUE
