lastWorkCenter,equivalence,count,equals
Cad Solutions S.A,Cad Solutions S.A,1,TRUE
Caesa Sac,Caesa Sac,2,TRUE
Caja Arequipa,Caja Arequipa,1,TRUE
Caja Cencosud Del Grupo Scotibank,Caja Cencosud Del Grupo Scotibank,1,TRUE
Caja Cencosud Scotiabank,Caja Cencosud Scotiabank,3,TRUE
Caja Huancayo,Caja Huancayo,2,TRUE
Caja Los Andes,Caja Los Andes,1,TRUE
Caja Metropolitana,Caja Metropolitana De Lima,1,FALSE
Caja Metropolitana De Lima,Caja Metropolitana De Lima,4,TRUE
Caja Municipal De Ahorro Y Credito De Ica,Caja Municipal De Ahorro Y Credito De Ica,3,TRUE
Caja Municipal De Ahorro Y Credito De Tacna,Caja Municipal De Ahorro Y Credito De Tacna S.A.,1,FALSE
Caja Municipal De Ahorro Y Credito De Tacna S.A.,Caja Municipal De Ahorro Y Credito De Tacna S.A.,1,TRUE
Caja Municipal De Creditos Y Ahorros De Maynas,Caja Municipal De Creditos Y Ahorros De Maynas,1,TRUE
Caja Prymera,Caja Prymera,3,TRUE
Caja Sullana,Caja Sullana,4,TRUE
Caja Trujillo,Caja Trujillo,1,TRUE
Calderos Piedra,Calderos Piedra,1,TRUE
Calimod,Calimod,2,TRUE
Callymakis Restobar,Callymakis Restobar,1,TRUE
Calypso Agencia,Calypso Agencia,1,TRUE
Calzados Azaleia Peru S.A.,Calzados Azaleia Peru S.A.,1,TRUE
Camara De Comercio De Lima,Camara De Comercio De Lima,1,TRUE
Camara Minera Del Peru,Camara Minera Del Peru,1,TRUE
Cambiando Vidas Peru,Cambiando Vidas Peru,1,TRUE
Cambista Online Sac,Cambista Online Sac,1,TRUE
Camino Real Mortgage Bankers,Camino Real Mortgage Bankers,1,TRUE
Campo Fe S.A.C,Campo Fe S.A.C,1,TRUE
Camposol,Camposol S.A.,2,FALSE
Camposol S.A.,Camposol S.A.,5,TRUE
Cantec Sac,Cantec Sac,1,TRUE
Canvia,Canvia S.A.C.,86,FALSE
Canvia (Ex Gmd S.A),Canvia S.A.C.,1,FALSE
Canvia (Proyecto Unique),Canvia S.A.C.,1,FALSE
Canvia S.A.C - Afiliada A Advent International,Canvia S.A.C.,1,FALSE
Canvia S.A.C.,Canvia S.A.C.,3,TRUE
Canvia Sa,Canvia S.A.C.,1,FALSE
Canvia(Cliente Sunat),Canvia S.A.C.,2,FALSE
Capacitate365,Capacitate365,3,TRUE
Card - Center For Applied Research And Development,Card - Center For Applied Research And Development,1,TRUE
Cardinal Health,Cardinal Health,1,TRUE
Carfip,Carfip,1,TRUE
Cargo Logistics Service,Cargo Logistics Service,1,TRUE
Cargo World Sac,Cargo World Sac,1,TRUE
Caritas Chosica,Caritas Chosica,1,TRUE
Carolina,Carolina,1,TRUE
Carsa,Carsa,4,TRUE
Cartocor De Peru S.A,Cartocor De Peru S.A,1,TRUE
